,name10,Fire Risk,Normalized Fire Risk
0,4238,609903.5454048126,12546.356820258748
1,4222,594887.5462889828,12237.461939520115
2,4224,452169.88179614826,9301.609612095775
3,4225,393277.7968000795,8090.1375394760535
4,4223,515221.0980330605,10598.639384786373
5,4218,500484.0112554964,10295.482023929068
6,4236.01,582275.5960434215,11978.02087023573
7,4216,338455.25449079036,6962.380236229778
8,4217,434913.1951396739,8946.62143411458
9,4212,565066.7962808345,11624.017775981709
10,4211,522228.4928439206,10742.7888594695
11,4235,603227.3371446144,12409.020200936084
12,4232,689870.5266692197,14191.361654779394
13,4220,780445.8588002563,16054.591413962336
14,4219,598886.9091596205,12319.733036330039
15,4213,567296.7562395707,11669.890395591789
16,4240.01,718040.8333836636,14770.854465467937
17,4236.02,537640.6549064522,11059.833228312826
18,4233,688925.5971771033,14171.923462187464
19,4215,419199.9435598551,8623.383337513502
20,4228,501327.39167295804,10312.831245346806
21,4237,534378.6781486575,10992.730938695016
22,4214,473238.29616952525,9735.009034606119
23,4221,663139.9901513453,13641.486429955748
24,4239.02,624673.5909925967,12850.192178475649
25,4230,566452.0663067109,11652.514236066261
26,4239.01,674931.0691894761,13884.041315925584
27,4240.02,743019.8201530345,15284.698471423075
28,4231,630520.6584659566,12970.472500545608
29,4227,468197.267850934,9631.309784941819
30,4226,412848.4155451677,8492.725732017463
31,4229,521591.5155657026,10729.68556751599
32,4234,642240.9678329034,13211.571580013882
