spa_names,Member Normal,Yes Percentage,Experience Percentage,Normalized Fire Risk,Normalized Earthquake Risk,normalized
4211.0,0.35,0.5,0.0,0.58,1.0,0.25
4212.0,0.85,0.5,0.17,0.49,1.0,0.76
4213.0,1.0,0.69,0.23,0.48,1.0,1.0
4214.0,0.25,,0.0,0.7,1.0,
4215.0,0.55,1.0,0.0,0.82,1.0,0.71
4216.0,0.49,0.5,0.33,1.0,1.0,0.55
4217.0,0.18,1.0,1.0,0.78,1.0,0.76
4218.0,0.45,,0.33,0.63,1.0,
4219.0,0.51,0.8,0.4,0.41,1.0,0.69
4220.0,0.11,1.0,0.0,-0.0,0.0,0.14
4221.0,0.05,1.0,0.0,0.27,1.0,0.22
4222.0,0.31,1.0,0.0,0.42,1.0,0.45
4223.0,0.18,0.5,0.0,0.6,1.0,0.12
4224.0,0.09,0.5,0.5,0.74,1.0,0.24
4225.0,0.11,1.0,0.0,0.88,1.0,0.31
4228.0,0.0,,,0.63,1.0,
4229.0,0.05,1.0,0.0,0.59,1.0,0.24
4230.0,0.25,0.5,0.5,0.48,1.0,0.35
4231.0,0.33,0.75,0.38,0.34,1.0,0.49
4232.0,0.09,0.5,0.0,0.2,1.0,0.0
4233.0,0.22,1.0,1.0,0.21,1.0,0.75
4234.0,0.11,,,0.31,1.0,
4235.0,0.33,,1.0,0.4,1.0,
4236.01,0.11,,0.0,0.45,1.0,
4236.02,0.02,,,0.55,1.0,
4237.0,0.13,,,0.56,0.48666666666666675,
4238.0,0.05,,,0.39,0.6642857142857144,
4239.01,0.04,1.0,1.0,0.24,1.0,0.59
4239.02,0.09,,,0.35,1.0,
4240.01,0.15,0.5,1.0,0.14,1.0,0.43
4240.02,0.0,,,0.08,1.0,
