GroupID,BlockName-Short,BlockName-Full,BlockLocation,BlockGrpDetails,Neighborhood,FireDistrict,FireDistrictLocation,Org Level,StageCode,MAP-Staff,Added from,Date Added
A10,Acton-1300-1400,Acton Earthquake Action,1300-1400 block of Action btwn Gilman&creek/dead end,,Central,6,"999 Cedar Street, 94710",O,2,green,Lynn Email,8/2/2011
A12,Acton-Francisco,Acton between Francisco-Delaware,1700 block,,Central,6,"999 Cedar Street, 94710",O,1,?,Meeting 4-2-09,4/9/2009
A123,Acton-2200,2200 Acton/Bancroft Ct,Acton between Allston&Bancroft,,Central,1,"2442 Eighth Street, 94710",O,1,?,Meeting 8-31-09,9/27/2009
A124,Acton-Allston,Acton-Allston,?,,Central,1,"2442 Eighth Street, 94710",?,?,?,?,3/7/2009
A13,Ada-Ordway CERT,Ada-Ordway-Acton,"Ada, Rose to Hopkins&Miramonte Ct; Sacto fr Rose to Hopkins",,Central,6,"999 Cedar Street, 94710",O,2,red,Email,3/7/2009
A18,Arch-1400,1400 Arch Street,1400 block Arch Street btwn Rose&Vine,,Northeast,7,"3000 Shasta Road, 94708",?,?,?,CN list,7/9/2008
A33,Addison-Byron-Cowper,ABC Neighborhood Group,"1100-1200 Addison, Byron and Cowper Streets, east of San Pablo and west of Curtis",,West,1,"2442 Eighth Street, 94710",O,1,yellow,Meeting 5-30-13,6/17/2013
A34,Addison-1700,,Addison btwn Grant & McGee,20 households; 2 apt bldgs,Central,2,"2029 Berkeley Way, 94704",O,2,green,Email S Brenner,1/30/2020
A44,Allston-1200,Allston Gasline Gang,"Allston fr Curtis to Strawberry Crk Park;parts of Curtis,Browning,Bonar incl BYA",,Central,1,"2442 Eighth Street, 94710",O,3,red,Pam Grossman,7/14/2014
A52,Alameda-500,500 block Alameda,Alameda between ThousOaks-San Ramon&Vallejo,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,1/15/2009
A529,Alameda-900,Alameda-Marin-Solano,The Alameda btwn Marin & Solano Aves,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 11-17-11,12/13/2011
A53,Alvarado-Bridge Disaster Prep,Alvarado and Bridge Roads,Intersection of Alvarado&Bridge;up and down Alvarado+down Bridge,,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Lynn + Email list,6/1/2009
A55,Amador Avenue,Amador Avenue,all of Amador btwn Sutter&Shattuck,25 households,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Pam Grossman,3/18/2009
A82,Arch-1300,1300 Arch Street,1300-1351 Arch St between Rose & Glen,,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Meeting 11-5-09,11/9/2009
A85,Arlington Avenue-Mendo-Yosemite,Arlington Avenue Neighborhood Group,Arlington from Yosemite to Mendocino w/few houses above Yosemite&a few below Mendocino; some on Somerset Pl.,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CP,4,blue,CN list,7/9/2008
A855,Arlington-Marin Circle-Mendocino,,between Marin Circle & Mendocino Path; 852&843 Arlington; 974 Arlington&965 Mendocino,43 households,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,7/18/2013
B15,Bancroft-Jefferson,BJ Nert,Bancroft (btwn California&McGee)+Jefferson (btwn Allston&Channing),17 houses,Central,2,"2029 Berkeley Way, 94704",O,3,red,Meeting 5-19-11,5/23/2011
B18,Bateman Neighborhood Assn,Bateman Neighborhood Assn,area surrounding Alta Bates Hospital--about 1100 homes,,Southeast,3,"2710 Russell Street, 94705",O,4,blue,Email list,6/1/2009
B20,Bay View Place,Bay View Place,Btwn Rose&Euclid below Rose Garden,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Meeting 11-17-11,12/11/2012
B25,Belvedere-1600,1600 Belvedere Avenue,1600 block of Belvedere; btwn Cedar&Virginia,,Central,6,"999 Cedar Street, 94710",O,2?,green,CN list,7/9/2008
B26,Berkeley Way-1400,BerkeleyWay,Berkeley Wy btwn Sacramento&Acton,,Central,6,"999 Cedar Street, 94710",?,?,?,,
B27,Berryman-Bonita,Berryman-Bonita,"1900 Berryman, 1200 Bonita",,North,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-28-10,1/30/2010
B28,Berryman-2000,Berryman-2000,between Henry&Shattuck,,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,9/19/2009
B29,Beverly Place-1500,1500 Beverly Place block,between Monterey&Ventura,,Central,4,"1900 Marin Avenue, 94707",O,3,red,CN list,7/9/2008
B31,Beverly Place-1700,1700 block Beverly Place,between Hopkins&Colusa,,North,4,"1900 Marin Avenue, 94707",O,3,red,Bill Springer,12/15/2016
B37,BFUU,Berkeley Fellowship of Unitarian Universalists,Cedar and Bonita,,Central,2,"2029 Berkeley Way, 94704",?,?,?,Meeting 1-28-09,1/30/2010
B50,Blake-Mabel -BAM,Blake-Mabel Neighborhood Assn,Four blocks bounded by: Dwight to Parker and Mathews to Acton,,West,1,"2442 Eighth Street, 94710",CC,4,blue,Meeting 5-10-12,6/14/2012
B51,Blake-1700,,Blake & Potter Creek,,West,5,"2680 Shattuck Avenue, 94704",?,?,?,,
B66,Benvenue-Woolsey,,3000 block of Benvenue; ?some houses on Woolsey.  Part of Bateman Neighborhood Assn,,Elmwood,3,"2710 Russell Street, 94705",O,2,red,Debbie LeVeen,2/2/2019
B76,Bonita-1300,1300 Bonita/Berryman,1300 Bonita btwn Berryman&Rose,,Central,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
B78,Bonita-1600,1600 Bonita-Cedar-Virginia,1600 block of Bonita btwn Cedar-Virginia; some on Virginia&Milvia,,Central,2,"2029 Berkeley Way, 94704",O,2,green,Lynn Email,8/25/2009
B87,Bordertown,Bordertown Neighborhood Group,Shattuck to Adeline; Woolsey to 65th;& inclusive blocks,,South,5,"2680 Shattuck Avenue, 94704",O?,2,green,,
B89,Boynton-Florida,,Boynton Avenue; ?some of Florida?,69 households,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,email-Yahoo Grp,8/23/2013
B91,Browning-2200,,2200 block Browning,,West,2,"2029 Berkeley Way, 94704",?,?,?,,
B93,Buena Vista/LaLoma,Buena Vista/LaLomaNeighbor.Group,BV fr Euclid past Maybeck twins;1521 LaLoma to Rose; Rose above Rose walk & Greenwood Terrace+GermanSchool (Hillside School),,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,5/17/2016
C08,California-1300,1300 California btwn Rose/Ada,13 households; just organizing. Pam to speak. Some shut off valves,,Central,4,"1900 Marin Avenue, 94707",O,1,yellow,Meeting 2-16-12,3/19/2012
C10,California-2300,2300 California Street,2300 block of California,,Central,5,"2680 Shattuck Avenue, 94704",O,2,green,Pam Grossman,3/7/2009
C14,Campus-Parnassus,Campus-Parnassus Neighborhood Group,1450-1590 Campus Drive-to end;all of  Parnassus;e&w of Parnassus Ct; 1-33 Avenida,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-29-09,2/1/2009
C15,Campus Drive Neighborhood Group,Campus Drive Neighborhood Group,Campus Drive between Glendale & Avenida,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 11-5-09,9/29/2009
C17,Cap-Mir-Slo,1600 Capistrano-Miramar-San Lorenzo Block Group,1600 Cap+Miramar+1600 SL+2 at inter of Ensenada-Cap,52 houses,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
C17.5,Capistrano-1700,Capistrano-1700 block,Capistrano between Ensenada and Colusa,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN contact,11/7/2011
