,Source,Count
6,Citywide meeting ,326
9,Email,318
10,Fair,143
27,Solano StrMtg ,139
11,GoKit sales ,28
18,Orig CN list,25
24,Rumford dedication,16
2,CERT ,13
4,Cache list,10
31,TONA ,9
22,Radio ,8
7,District  Town Hall,7
37,via Lerlin ,7
3,CN contact,6
29,SouthBerk Community event ,5
32,Training,5
26,SolStroll,5
0,BDPNN group,5
25,Sign up sheet,4
17,Norinedrill,3
15,Mike HoeyNatl Night Out,3
19,Pam GrossmanNorCal Resilience,3
16,New group form,2
21,Quest request,2
14,Juneteenth ,2
13,John Pardee E,2
30,Summit ,2
8,EmPrep event ,2
36,via Cindy Larson C,2
23,Request Brodergrp leader,1
20,PamGrossman,1
1,CC listLynn,1
12,Jbuckley ,1
5,City OES,1
33,from C Nolan,1
34,from G Couzin,1
35,met at drill ,1
28,SolanoStr,1
